Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Dungeonborne	2448970		NA	0	NA	0	No time registered yet	No time registered yet	70	3.41 ± 5.31	0	0	NA	NA	NA			18-Jul-2024	X	Requires a 64-bit processor and operating systemOS: 64-Bit Windows 10 or laterProcessor: Intel Core i5 6600K or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1060 3 GB or AMD equivalentDirectX: Version 12Network: Broadband Internet connectionStorage: 25 GB available space 	Requires a 64-bit processor and operating systemOS: 64-Bit Windows 10 or laterProcessor: Intel Core i7 9700 or AMD equivalentMemory: 16 GB RAMGraphics: NVIDIA GeForce RTX 3060 Ti or AMD equivalentDirectX: Version 12Network: Broadband Internet connectionStorage: 25 GB available space
Friends vs Friends	1785150	Action, Indie	Card Game, Action, Old School, Online Co-Op, Co-op, FPS, Battle Royale, Colorful, Multiplayer, Team-Based, Indie, PvP, Shooter, Combat, Arena Shooter, First-Person, Hero Shooter, Pixel Graphics, Gun Customization, Destruction	13313	83.1	0	5	0	29	21.52 ± 23.93	0.3	0	NA	NA	NA	Brainwash Gang	Raw Fury	30-May-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel Core i5-3570K or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780DirectX: Version 11Network: Broadband Internet connectionStorage: 15 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel(R) Core(TM) i7-9700K CPU @ 3.60GHz \/ AMD Ryzen 7 1700X Eight-CoreMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1070 \/ Radeon (TM) RX 480 GraphicsDirectX: Version 11Network: Broadband Internet connectionStorage: 15 GB available space
Lantern of Worlds	712070	Adventure, RPG	Adventure, RPG	17	64.7	0	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	NA	NA	Fasold Games	Fasold Games	05-Oct-2017	NA	OS *: WindowsR 7\/8\/8.1\/10 (32bit\/64bit)Processor: Intel Core2 Duo or betterMemory: 2 GB RAMGraphics: DirectX 9\/OpenGL 4.1 capable GPUStorage: 1 GB available spaceAdditional Notes: 1280x768 or better Display	NA
The Bookwalker	1432100	Adventure, Indie	Adventure, Singleplayer, Atmospheric, Isometric, Noir, Story Rich, Lore-Rich, Surreal, Dark Fantasy, Mystery, First-Person, Dystopian , Point & Click, Detective, Thriller, Exploration, Narration, Drama, Puzzle, Visual Novel	2154	92.2	0	7	13	37	27.87 ± 16.59	2.7	0	NA	NA	NA	DO MY BEST	tinyBuild	22-Jun-2023	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 and upProcessor: Dual-coreMemory: 6 GB RAMGraphics: GTX 760 and upStorage: 12 GB available space 	Requires a 64-bit processor and operating systemOS *: Windows 7 and upProcessor: Dual-coreMemory: 8 GB RAMGraphics: GTX 1060Storage: 12 GB available space
Creepy Tale: Some Other Place	2476100	Adventure, Indie	Adventure, Atmospheric, Dark, Puzzle, Indie, 2D, Action-Adventure, Mystery, Side Scroller, Narration, Cartoony, Hand-drawn, Cute, Lore-Rich, Point & Click, Escape Room, Linear, Exploration, Singleplayer, Action	494	94.3	0	3	0	25	44.81 ± 19.25	15.7	0	NA	NA	NA	Creepy Brothers	Creepy Brothers	30-May-2024	NA	Requires a 64-bit processor and operating systemOS *: 64-bit Windows 7 \/ 8 \/ 10Processor: 2 GHzMemory: 2 GB RAMGraphics: GeForce 600 SeriesStorage: 5 GB available space 	Requires a 64-bit processor and operating systemOS *: 64-bit Windows 7 \/ 8 \/ 10Processor: 2 GHzMemory: 2 GB RAMGraphics: GeForce 600 SeriesStorage: 5 GB available space
Kingdom Eighties	1956040	Action, Strategy	Exploration, Side Scroller, Action RTS, City Builder, Local Co-Op, Colony Sim, Sandbox, Tower Defense, Strategy, 2D, Base-Building, Story Rich, Action, Casual, Pixel Graphics, Fantasy, Sci-fi, Building, Survival, Adventure	2938	73.8	0	6	15	31	45.64 ± 26.62	5.9	0	NA	NA	NA	Fury Studios	Raw Fury	26-Jun-2023	NA	OS: Windows 10Processor: Intel 4th Gen Dual Core 2.0GhzMemory: 2 GB RAMGraphics: Nvidia GTX Series 8DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 4 GB available spaceAdditional Notes: The game can likely run on lower-rated hardware, but we can't guarantee the performance or provide support. 	OS: Wiindows 11Processor: Intel 7th GenMemory: 4 GB RAMGraphics: Nvidia GTX Series 10DirectX: Version 11Network: Broadband Internet connectionStorage: 4 GB available spaceAdditional Notes: This recommendation is based on what many of us tested the game on while in development. We're confident it supports a smooth experience.
Barbie Project Friendship™	2478330	Adventure, Casual, Simulation	Family Friendly, Adventure, Female Protagonist, Exploration, Minigames, Simulation, Cartoon, Character Customization, Multiplayer, Music, Cute, Casual, Colorful, Relaxing, Cartoony, Co-op, Local Co-Op, Local Multiplayer, Singleplayer, Rhythm	36	61.1	0	0	7	27	22.7 ± 20.99	4.1	0	NA	NA	NA	Xaloc Studios, Casual Brothers Ltd.	Outright Games Ltd.	25-Oct-2024	NA	OS: Windows 10 64-BitProcessor: AMD Ryzen 3 1200 \/ Intel Core i3-7100Memory: 8 GB RAMGraphics: AMD Radeon RX 550 \/ Nvidia GTX 750DirectX: Version 11Storage: 5 GB available spaceSound Card: DirectX Compatible Sound Card 	OS: Windows 10 64-BitProcessor: AMD Ryzen 5 2500X \/ Intel Core i5-8400Memory: 8 GB RAMGraphics: AMD Radeon R9 280 \/ Nvidia GTX 960DirectX: Version 11Storage: 8 GB available spaceSound Card: DirectX Compatible Sound Card
Infection Free Zone - Prologue	2485640		NA	0	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA			19-Oct-2023	X	OS: Windows 10Processor: Intel Core i3-8100 or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780Storage: 3 GB available spaceSound Card: recommended 	OS: Windows 10Processor: Intel i5 or betterMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1060Storage: 3 GB available spaceSound Card: recommended
Alex Jones: NWO Wars	2487350	Action, Indie	Action, Arcade, Shooter, 2D Platformer, Shoot 'Em Up, Side Scroller, 2D, Cartoony, Conspiracy, America, Pixel Graphics, Comedy, Dark Humor, Memes, Funny, Political, Old School, Politics, Satire, Villain Protagonist	1775	92	0	1	1	NA	NA	NA	NA	NA	NA	NA	NWO Wars Team	NWO Wars Team	03-Jan-2024	NA	Requires a 64-bit processor and operating systemOS: 10Processor: Core i3Memory: 2 GB RAMGraphics: Intel HD GraphicsDirectX: Version 10Storage: 500 MB available space 	Requires a 64-bit processor and operating system
The Guest	2506110	Action, Adventure, Indie	Indie, Horror, Psychological Horror, Dark, Adventure, First-Person, Walking Simulator, Atmospheric, Survival Horror, Singleplayer, 3D, Linear, Realistic, Mystery, Violent, Action, Exploration	169	78.1	0	2	4	NA	NA	NA	NA	NA	NA	NA	99 Grados Games	99 Grados Games	24-Oct-2023	NA	Requires a 64-bit processor and operating systemOS *: WINDOWS® 7, 8, 8.1, 10, 11Processor: Intel® Core™ i3 or AMD Ryzen™ 3Memory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 950 or AMD Radeon™ R7 370Storage: 12 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10, 11Processor: Intel® Core™ i5 or AMD Ryzen™ 5Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480Storage: 12 GB available space
Clue/Cluedo	2506480	Adventure, Casual, Simulation, Strategy	Casual, Multiplayer, Tabletop, Detective, Crime, Board Game, Strategy, PvP, Co-op, Online Co-Op, 3D, Dark, Horror, Simulation, Local Multiplayer, Mystery, Investigation, Singleplayer, Adventure, Puzzle	327	89.6	0	1	0	32	12.33 ± 19	1.1	0	NA	NA	NA	Marmalade Game Studio Ltd	Marmalade Game Studio Ltd	23-Aug-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 or newerProcessor: Dual Core, 2 GHz single core processorMemory: 4 GB RAMGraphics: DirectX 10 class GPU [1280 x 720]Storage: 2 GB available spaceSound Card: Integrated sound card 	Requires a 64-bit processor and operating system
Delta Force	2507950		NA	0	NA	0	6	0	53	2.67 ± 4.91	0.1	0	NA	NA	NA			04-Dec-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 bitProcessor: Intel Core i3-4150 \/ AMD FX-6300Memory: 8 GB RAMGraphics: Nvidia Geforce GTX 660 \/ AMD HD 7870 \/ Intel Arc A380DirectX: Version 12Network: Broadband Internet connectionStorage: 88 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 64 bitProcessor: Intel Core i5-6500 \/ AMD Ryzen 5 1500xMemory: 16 GB RAMGraphics: Nvidia Geforce GTX 1060 5G \/ AMD RX5500 XT \/ Intel Arc A580DirectX: Version 12Storage: 88 GB available space
DoronkoWanko	2512840	Action, Casual, Simulation, Free To Play	NA	0	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	Bandai Namco Studios Inc., Bandai Namco Online Inc.	Phoenixx Inc.	26-Mar-2024	NA	OS: Windows 10Processor: Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz   3.40 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1050DirectX: Version 11Storage: 1 GB available space	NA
Akatori: Сhapter One	2524680	Action, Adventure, Indie	Adventure, Action, Platformer, Exploration, Action-Adventure, Metroidvania, Open World, 2D Platformer, Female Protagonist, Side Scroller, 2D, Hand-drawn, Cute, Atmospheric, Dark Fantasy, Fantasy, Multiple Endings, Controller, Singleplayer, Difficult	947	93.3	0	1	2	9	28.32 ± 21.49	4.8	0	NA	NA	NA	Code Wakers	HypeTrain Digital	19-Apr-2024	X	Requires a 64-bit processor and operating systemOS: 7, 8.1, 10, 11 x64Processor: i5 4th gen \/ AMD RYZEN R5 \/ Intel i5Memory: 8 GB RAMGraphics: Nvidia GTX 750 \/ AMD RX 560Storage: 2 GB available space 	Requires a 64-bit processor and operating systemOS: 7, 8.1, 10, 11 64 bitProcessor: i5 8th gen \/ Ryzen R5 \/ Intel i5Memory: 16 GB RAMGraphics: Nvidia GTX 1050 \/ AMD R9 280Storage: 2 GB available space
Noble's Life: Kingdom Reborn Prologue	2526490	Indie, RPG, Simulation, Strategy, Free To Play	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	Gentle Griffons	Concept Lab Sp. z o.o.	16-Dec-2024	NA	OS *: 64-bit Windows 8.1 \/ 64-bit Windows 10Processor: Intel Core i5‑8400 2.8 GHz \/ AMD Ryzen 5 1500X 3.5 GHzMemory: 8 GB RAMGraphics: AMD Radeon RX 570 4Gb \/ Nvidia GeForce 1050 Ti 4GbStorage: 20 GB available spaceSound Card: IntegratedAdditional Notes: SSD Recommended 	OS *: 64-bit Windows 8.1 \/ 64-bit Windows 10Processor: Intel Core i9-9900 3.1 GHz \/ AMD Ryzen 5 3600 3.6 GHzGraphics: AMD Radeon RX6800 16Gb \/ Nvidia GeForce RTX 3060 12Gb
Age of Empires III: Definitive Edition	933110	Free To Play, Strategy	Strategy, Base-Building, RTS, Multiplayer, Military, City Builder, Historical, War, Singleplayer, Free to Play, Resource Management, PvP, Combat, 3D, Online Co-Op, Co-op, Medieval, Moddable, Story Rich, Level Editor	48342	84.7	0	20	86	88	5.93 ± 10.59	0.5	0	NA	NA	NA	World's Edge, Tantalus Media, Forgotten Empires	Xbox Game Studios	15-Oct-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 10 version 18362.0 or higherProcessor: Intel i3-2105 @ 3.1GHz or AMD Phenom II X4 973 with an average CPU Passmark score of 1830 or betterMemory: 8 GB RAMGraphics: GeForce GT 430, Radeon HD 5570, or Intel HD 4400 with an average Passmark G3D Mark of 570 or better @720pDirectX: Version 11Network: Broadband Internet connectionStorage: 42 GB available spaceAdditional Notes: 2 GB VRAM 	Requires a 64-bit processor and operating systemOS: Windows 10 version 18362.0 or higherProcessor: Intel i5-3300 @ 3.0GHz or AMD FX-8350 or equivalent with an average CPU Passmark score of 4100 or betterMemory: 16 GB RAMGraphics: GeForce GTX 980 or Radeon R9 Fury or equivalent with an average Passmark G3D Mark of 9500 or better @1080pDirectX: Version 11Network: Broadband Internet connectionStorage: 42 GB available spaceAdditional Notes: 4 GB VRAM
Hexarchy	1356810	Indie, Simulation, Strategy	Turn-Based, Card Game, Resource Management, Simulation, Strategy, Trading, 4X, Deckbuilding, Grand Strategy, Historical, Co-op, PvP, Hex Grid, War, Diplomacy, Economy, Board Game, Turn-Based Strategy, Building, Turn-Based Combat	1155	81.6	0	2	0	67	11.18 ± 17.44	0.4	0	NA	NA	NA	Main Tank Software	Yogscast Games, Gamersky Games	19-Oct-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: Intel i5 \/ AMD Ryzen 3 Pro 2200GMemory: 4 GB RAMGraphics: Integrated GraphicsNetwork: Broadband Internet connectionStorage: 2 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: Intel i5 \/ AMD Ryzen 3 Pro 2200G or higherMemory: 8 GB RAMGraphics: Nvidia GTX 970 or AMD R9 390 or higherNetwork: Broadband Internet connectionStorage: 2 GB available space
WARSAW RISING: City of Heroes	1026420	Indie, RPG, Free To Play	Tactical RPG, Wargame, Turn-Based Strategy, Historical, Strategy RPG, Perma Death, RPG, Difficult, Turn-Based Combat, 2D, Rogue-lite, Party-Based RPG, Strategy, Comic Book, Team-Based, Female Protagonist, Turn-Based Tactics, Hand-drawn, Stylized, World War II	1325	65.2	0	8	0	42	8.13 ± 6.12	1.5	0	NA	NA	NA	Pixelated Milk, Retrovibe Games	Instytut Pamięci Narodowej	02-Oct-2019	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 SP1 \/ 8.1 \/ 10 64 bitProcessor: Intel Core i3 2100 \/ AMD Phenom II x4 955Memory: 4 GB RAMGraphics: 1 GB VRAM - NVIDIA GeForce GTX 470 \/ ATI Radeon HD5800DirectX: Version 11Storage: 3 GB available spaceSound Card: DirectX Compliant 	Requires a 64-bit processor and operating systemOS *: Windows 7 SP1 \/ 8.1 \/ 10 64 bitProcessor: Intel Core i7 3770K \/ AMD FX 8350Memory: 6 GB RAMGraphics: 2 GB VRAM - NVIDIA GeForce GTX 560 \/ AMD Radeon HD6850DirectX: Version 11Storage: 3 GB available spaceSound Card: DirectX Compliant
Matchbox™ Driving Adventures	2322330	Action, Adventure, Racing	Racing, Combat Racing, Action, Driving, Adventure, PvP, Action-Adventure, Character Customization, 3D, Controller, Family Friendly, Multiplayer, Singleplayer, Local Co-Op, Cozy, Local Multiplayer	18	50	0	2	0	15	24.94 ± 22.05	4.1	0	NA	NA	NA	Casual Brothers Ltd.	Outright Games Ltd.	20-Sep-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-BitProcessor: AMD Ryzen 5 2500X \/ Intel Core i5-8400Memory: 8 GB RAMGraphics: AMD Radeon R9 280 \/ Nvidia GTX 960DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX Compatible Sound Card 	Requires a 64-bit processor and operating systemOS: Windows 10 64-BitProcessor: AMD Ryzen 5 2600X \/ Intel Core i5 8600kMemory: 8 MB RAMGraphics: AMD Radeon R9 390x \/ Nvidia GTX 980DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX Compatible Sound Card
Furi Demake	2593450		NA	0	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA			30-Nov-2023	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 or higherProcessor: Intel Core i3 \/ AMD Phenom II X4Memory: 4 GB RAMGraphics: GeForce GTX 650 \/ AMD R7 250Storage: 500 MB available spaceSound Card: AnyAdditional Notes: Controller 	Requires a 64-bit processor and operating system
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator	2594920	Adventure, Casual, RPG, Free To Play	NA	0	NA	0	19	0	NA	NA	NA	NA	NA	NA	NA	KOEI TECMO GAMES	KOEI TECMO GAMES	24-Jan-2024	NA	Requires a 64-bit processor and operating systemOS: Windows® 10, Windows® 11 64bitProcessor: Intel® Core™ i3-3210 or overMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 660 2GB or over, AMD Radeon™ R7 260X 2GB or overDirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: 16 bit stereo, 48KHz WAVE file can be playedAdditional Notes: ※Windows 11 system requirements must be met if using Windows®11. ※Assumed environment &quot;Graphics&quot; from in-game options Screen Resolution: 1280×720, Quality Settings: Power Saver, Max Frame Rate: 30 	Requires a 64-bit processor and operating systemOS: Windows® 10, Windows® 11 64bitProcessor: Intel® Core™ i7-7700K or over, AMD Ryzen™ 3 3100 or overMemory: 16 GB RAMGraphics: Recommended (2K, 60fps): NVIDIA® GeForce® GTX 1650 4GB or over,  AMD Radeon™ RX 570 4GB or over　Recommended (4K）: NVIDIA® GeForce® GTX 1660 6GB or over, AMD Radeon™ RX 5600XT 6GB or overDirectX: Version 11Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: 16 bit stereo, 48KHz WAVE file can be playedAdditional Notes: ※Windows 11 system requirements must be met if using Windows®11. ※SSD recommended for storage ※Assumed environment &quot;Graphics&quot; from in-game options Quality Settings: Quality, Max Frame Rate: 60.  ■Verified to run at Screen Resolution 1920x1080 with Intel® Core™ i7-10700 (Resizable (Re-Size) BAR enabled) GPU: Intel® Arc™ A380 (VRAM6GB).  ■Verified to run at Screen Resolution 3840x2160 with Intel® Core™ i9-13900K (Resizable (Re-Size) BAR enabled) GPU: Intel® Arc™ A770 (VRAM16GB)
Pathless Woods: Prologue	2595310		NA	0	NA	0	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	NA	NA			27-Sep-2023	X	OS *: Windows 7\/8\/10 64-bitProcessor: 3.0 Ghz Dual Core CPUMemory: 4 GB RAMGraphics: DirectX 11 GPU with 2GB of memory (GTX 960 or better)DirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available space	NA
Tomb Raider I-III Remastered Starring Lara Croft	2478970	Action, Adventure	Female Protagonist, Action-Adventure, Action, Exploration, Old School, 3D, Singleplayer, Adventure, Puzzle, Classic, Controller, Atmospheric, Platformer, Violent, Remake, Difficult, Great Soundtrack, Story Rich, Horror, Nudity	6849	89.5	0	36	92	269	5.22 ± 6.32	0.8	0	NA	NA	NA	Aspyr, Crystal Dynamics	Aspyr	13-Feb-2024	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 or laterProcessor: Intel i3 3240 or AMD FX 4100Memory: 4 GB RAMGraphics: NVIDA GT730 or AMD R7 240DirectX: Version 12Storage: 5 GB available space 	Requires a 64-bit processor and operating system
Moonstone Island	1658150	Adventure, Indie, RPG	Creature Collector, Deckbuilding, 2D, Pixel Graphics, Cute, Sandbox, Building, Farming Sim, Card Battler, Life Sim, Agriculture, RPG, Simulation, Relaxing, Fantasy, Action-Adventure, Strategy, Dating Sim, Cooking, Fishing	3857	84.4	0	34	55	58	8.66 ± 9.62	0.4	0	NA	NA	NA	Studio Supersoft	Raw Fury	20-Sep-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core i5-2300 \/ AMD Ryzen 3 1200Memory: 8 GB RAMGraphics: GeForce GTX 460 \/ Radeon HD 5850DirectX: Version 12 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core i5-8400 \/ AMD Ryzen 7 2700XMemory: 8 GB RAMGraphics: GeForce GTX 1050 Ti \/ Radeon R9 280XDirectX: Version 12
Vivaland: Dream House	2606170	Casual, Indie, Simulation	NA	0	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	Hive5 Interactive	HypeTrain Digital	01-Mar-2024	X	OS: Windows 10, Windows 11Processor: Core i5 7th gen. or AMD equivalentMemory: 6 GB RAMGraphics: GT1030 or AMD\/ Intel equivalentStorage: 10 GB available space	NA
Beneath Oresa	1803400	Indie, RPG, Strategy	Roguelike Deckbuilder, Deckbuilding, Card Game, Rogue-like, Strategy, 3D, Hand-drawn, Third Person, Cyberpunk, Futuristic, Post-apocalyptic, Sci-fi, Turn-Based, Indie, Turn-Based Combat, Female Protagonist, Procedural Generation, Singleplayer, Adventure, Rogue-lite	1437	77.7	0	8	152	66	2.9 ± 4.08	0.6	0	NA	NA	NA	Broken Spear Inc.	Goblinz Publishing	27-Sep-2023	NA	Requires a 64-bit processor and operating systemOS: 10Processor: Intel i3Memory: 3 GB RAMGraphics: GTX 1050DirectX: Version 11Storage: 7300 MB available space 	Requires a 64-bit processor and operating systemOS: 10Processor: Intel i3Memory: 6 GB RAMGraphics: GTX 1050DirectX: Version 11Storage: 7300 MB available space
Disney Speedstorm	1537830	Action, Adventure, Casual, Racing, Simulation, Sports, Free To Play	Racing, Multiplayer, Action, Combat Racing, Arcade, Driving, 3D, Third Person, Character Customization, Casual, Simulation, Adventure, Free to Play, Sports, PvP, PvE, Vehicular Combat, Split Screen, Early Access, Automobile Sim	0	NA	0	7	54	24	6.41 ± 3.33	4.1	0	NA	NA	NA	Gameloft	Gameloft	18-Apr-2023	NA	OS: Windows 10 (64 bit) or Newer (64 bit) Windows OSProcessor: Intel Core i5-4460 \/ AMD Ryzen 3 1300xMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 4GB \/ GTX 1650 \/ AMD Radeon R7 370 4GBDirectX: Version 12Network: Broadband Internet connectionStorage: 20 GB available space 	OS: Windows 10 (64 bit) or Newer (64 bit) Windows OSProcessor: Intel Core i7-7700 \/ AMD Ryzen 5 3600xMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1080 \/ AMD Radeon 5700XDirectX: Version 12Network: Broadband Internet connectionStorage: 40 GB available space
Spectre Divide	2641470	Action, Free To Play	NA	0	NA	0	0	18	17	0.89 ± 0.69	0.1	0	NA	NA	NA	Mountaintop Studios	Mountaintop Studios	03-Sep-2024	X	Requires a 64-bit processor and operating systemOS: Windows 10 HomeProcessor: Intel Core i5 (4th Generation or newer) OR AMD Ryzen 5Memory: 8 GB RAMGraphics: Nvidia GTX 1080-Ti OR AMD RX 6700-XTDirectX: Version 11Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: N\/AVR Support: N\/AAdditional Notes: SSD Recommended 	Requires a 64-bit processor and operating system
CRYPTARK	344740	Action, Adventure, Indie, Strategy	Action Roguelike, Action, Indie, Strategy, Adventure, Rogue-lite, Twin Stick Shooter, Space, Mechs, Sci-fi, 2D, Rogue-like, Bullet Hell, Procedural Generation, Great Soundtrack, Shooter, Difficult, Singleplayer, Local Co-Op, Co-op	1822	82.4	0	4	16	27	5.82 ± 2.28	3	0	NA	NA	NA	Alientrap	Alientrap	20-Jun-2017	NA	OS *: XP\/Vista\/Windows 7Processor: Dual-core processor (Intel Dual Core 2.0 GHz or AMD Athlon X2 5200+ 2.6 GHz)Memory: 1 GB RAMGraphics: Geforce 9600 GS, Radeon HD4000, Shader Model 3.0, 512 MBDirectX: Version 9.0cStorage: 700 MB available space	NA
Intravenous 2: Mercenarism	2651330	Action, Adventure, Indie, Simulation, Strategy	Tactical, Realistic, Shooter, Stealth, Singleplayer, Action, 2D, Gun Customization, Top-Down Shooter, Combat, Violent, Crime, Gore, Pixel Graphics, Action-Adventure, Top-Down, Immersive Sim, Difficult, Story Rich, Simulation	2659	94.3	0	2	6	23	10.44 ± 10.83	1.4	0	NA	NA	NA	Explosive Squat Games	HypeTrain Digital	19-Jan-2024	X	Requires a 64-bit processor and operating systemOS: WIndows 10 and above, 64-bitProcessor: Athlon II X2 270 or equivalentMemory: 2 GB RAMGraphics: 256 MB VRAM, Intel HD 5500 Graphics or equivalentDirectX: Version 9.0Storage: 654 MB available spaceAdditional Notes: 1280x720 Normal settings, 60+ FPS 	Requires a 64-bit processor and operating systemOS: WIndows 10 and above, 64-bitProcessor: Ryzen 3 1200 or equivalentMemory: 2 GB RAMGraphics: 512 MB VRAM, RX 460\/GTX 1050 or equivalentDirectX: Version 9.0Storage: 654 MB available spaceAdditional Notes: 1920x1080 High settings, 144+ FPS
Tinkerlands: A Shipwrecked Adventure	2658710		NA	0	NA	0	0	9	10	28.29 ± 21.05	14.3	0	NA	NA	NA			12-Apr-2024	X	OS *: Win 7 or laterProcessor: Intel Core 2 Duo E6320 (2*1866) or equivalentGraphics: GeForce 7600 GS (512 MB) or equivalentStorage: 250 MB available spaceAdditional Notes: Requires a 64-bit processor and operating system	NA
Chambers: The Outlaw	2669490		NA	0	NA	0	1	2	21	6.88 ± 12.53	1.6	0	NA	NA	NA			10-May-2024	X	OS: Windows 10Processor: 2.5 GHzMemory: 8 GB RAMGraphics: Nvidia Gtx 1050Storage: 2 GB available spaceSound Card: Any 	OS: Windows 10Processor: AMD Ryzen 7 4800H 2.90GhzMemory: 16 GB RAMGraphics: Nvidia Gtx 1650Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: any
Dragon's Dogma 2 Character Creator & Storage	2674810		NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA			07-Mar-2024	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)\/Windows 11 (64 bit)Processor: Intel Core i5 10600 \/  AMD Ryzen 5 3600Memory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1070 \/ AMD Radeon RX 5500 XT with 8GB VRAMDirectX: Version 12Network: Broadband Internet connectionStorage: 6.94 GB available spaceAdditional Notes: Estimated performance: 1080p\/30fps. Framerate might drop in graphics-intensive scenes. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)\/Windows 11 (64 bit)Processor: Intel Core i7-10700 \/  AMD Ryzen 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GeForce RTX 2080 \/ AMD Radeon RX 6700DirectX: Version 12Network: Broadband Internet connectionStorage: 6.94 GB available spaceAdditional Notes: Estimated performance: 2160i\/30fps. Framerate might drop in graphics-intensive scenes.
University King	2700620	Casual, Indie, Early Access	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	The Sexy Chinaman	The Sexy Chinaman	17-Jun-2024	X	Requires a 64-bit processor and operating systemOS: Windows 10 or betterProcessor: 64-bitMemory: 2 GB RAM 	Requires a 64-bit processor and operating system
Space for Sale Demo	2701850		NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	Mirage Game Studios	Mirage Game Studios	09-Jul-2024	NA	Requires a 64-bit processor and operating system 	Requires a 64-bit processor and operating system
Revenge Of The Colon	2710950	Casual, Indie, RPG, Simulation	Horror, Atmospheric, Surreal, Psychological Horror, Psychological, Supernatural, Story Rich, Singleplayer, Walking Simulator, Choices Matter, Retro, Dark Humor, Multiple Endings, Old School, Casual, Medical Sim, Linear, First-Person, Dark, Blood	344	86.6	0	2	3	4	16.68 ± 16.35	3.3	0	NA	NA	NA	Lilou Studio	Lilou Studio	22-Dec-2023	NA	Requires a 64-bit processor and operating systemOS *: Windows 7 (SP1+), Windows 10 and Windows 11Processor: Any 64bit processor from the last 10 years or soMemory: 4 GB RAMGraphics: AnyStorage: 200 MB available spaceSound Card: AnyAdditional Notes: There is a high chance it works on your computer. 	Requires a 64-bit processor and operating system
