Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Football Manager 2021 Touch	1263860	Simulation, Sports	Simulation, Sports, Management, Singleplayer, Football (American), Football (Soccer)	678	89.1	0	78	0	94	0	NA	NA	NA	Sports Interactive	SEGA	01-Dec-2020	X	Requires a 64-bit processor and operating systemOS: Windows 7 (SP1), 8\/8.1, 10 (Update 1903\/May 2019 or later) – 64-bitProcessor: Intel Core 2 or AMD Athlon 64 – 1.8 GHz +Memory: 4 GB RAM 	Requires a 64-bit processor and operating system
Doctor Who: The Edge of Reality	1444920	Adventure, Indie	Action-Adventure, Exploration, Story Rich, Puzzle, Mystery, Space, First-Person, Sci-fi, Action, Time Travel, Adventure, Horror, FPS, Stealth, Atmospheric, Futuristic, Singleplayer, Indie, VR	259	60.6	0	4	0	30	0	NA	NA	NA	Maze Theory Ltd, Just Add Water (Developments), Ltd.	Maze Theory Ltd, Another Indie, Neon Doctrine	13-Oct-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 8Memory: 8 GB RAM 	Requires a 64-bit processor and operating system
The Walking Dead: The Telltale Definitive Series	1449690	Adventure	Choices Matter, Story Rich, Interactive Fiction, Horror, Multiple Endings, Comic Book, Adventure, Choose Your Own Adventure, Post-apocalyptic, Visual Novel, Point & Click, Atmospheric, 3D, Third Person, Dark, Zombies, Dynamic Narration, Dystopian , Conversation, Narration	11813	96.2	0	41	48	23	0	NA	NA	NA	Skybound Games	Skybound Games	29-Oct-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64Bit Service Pack 1Processor: Intel Core 2 Duo 2.8GHzMemory: 3 GB RAMGraphics: Nvidia GeForce GTS 450 2GBDirectX: Version 11Storage: 45 GB available spaceSound Card: DirectX 11 sound device 	Requires a 64-bit processor and operating systemOS: Windows 7 64Bit Service Pack 1Processor: Intel Core i5-2500KMemory: 3 GB RAMGraphics: Nvidia GeForce GTX 960DirectX: Version 11Storage: 45 GB available spaceSound Card: DirectX 11 sound device
Yu-Gi-Oh!  Master Duel	1449850		NA	0	NA	0	25	84	11	0	NA	NA	NA			18-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 Home (64bit) latest revisionProcessor: Intel Core i5-7300UMemory: 8 GB RAMGraphics: Intel(R) HD Graphics 620DirectX: Version 11Network: Broadband Internet connectionStorage: 16 GB available spaceSound Card: On BoardAdditional Notes: 1280 x 720 monitor resolution 	Requires a 64-bit processor and operating systemOS: Windows 10 Home (64bit) latest revisionProcessor: Intel Core i5-9400FMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1650DirectX: Version 11Network: Broadband Internet connectionStorage: 16 GB available spaceSound Card: On BoardAdditional Notes: 1920 x 1080 monitor resolution
Out of the Park Baseball 22	1455660	Indie, Simulation, Sports, Strategy	Sports, Baseball, Sandbox, Management, Immersive Sim, Strategy, PvP, Strategy RPG, Simulation, 2D, 3D, Historical, Family Friendly, Tactical, America, Resource Management, Multiplayer, Singleplayer, Indie	1651	85.9	0	No time registered yet	No time registered yet	169	0	NA	NA	NA	Out of the Park Developments	Out of the Park Developments	26-Mar-2021	X	OS: Win8.x\/Win10Processor: Intel or AMD, 32 bit or 64 bitMemory: 2 GB RAMGraphics: OpenGL 2.0 or newer, min 256 MB GPU memoryStorage: 3 GB available space 	OS: Win10Processor: Intel or AMD, 32 bit or 64 bitMemory: 4 GB RAMGraphics: OpenGL 2.0 or newer, min 256 MB GPU memoryStorage: 20 GB available space
Lost in Random™	1462570	Action, Adventure, Indie	Adventure, Action, Action-Adventure, Gothic, Indie, Exploration, Singleplayer, Comedy, Fantasy, Deckbuilding, Story Rich, Action RPG, Combat, Female Protagonist, Real-Time with Pause, Third Person, Soundtrack, Dark Fantasy, Atmospheric, Multiplayer	2696	90.2	0	13	17	40	0	NA	NA	NA	Zoink, Thunderful	Electronic Arts	10-Sep-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: AMD FX 6100, Intel i3 6300Memory: 8 GB RAMGraphics: Radeon R9 270X ,  Nvidia GTX 750DirectX: Version 12Network: Broadband Internet connectionStorage: 20 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel i7 7700K ,  AMD Ryzen 7 2700XMemory: 16 GB RAMGraphics: Radeon RX Vega 56,  Nvidia GTX 1070DirectX: Version 12Network: Broadband Internet connectionStorage: 20 GB available space
Godstrike	1476170	Action, Adventure, Indie	Bullet Hell, Twin Stick Shooter, Action Roguelike, Action, Shooter, Rogue-lite, Arcade, 3D, Bullet Time, Anime, Indie, Colorful, Adventure, Fantasy, Combat, Singleplayer, Controller, Boss Rush	146	72.6	0	2	0	22	0	NA	NA	NA	OverPowered Team	Freedom Games	15-Apr-2021	NA	OS: Windows 7Processor: Intel Core i3-8100 \/ AMD FX 6350Memory: 4 GB RAMGraphics: 1 GB Video RAM - NVIDIA GeForce GTX 650 \/ AMD R7 250DirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available space 	OS: Windows 10Processor: Intel Core i5-4690 \/ AMD FX-4300Memory: 8 GB RAMGraphics: 4 GB Video RAM - NVIDIA GeForce GTX 970 \/ AMD Radeon R9 390DirectX: Version 12Network: Broadband Internet connectionStorage: 2 GB available space
Among Ass	1477060	Action, Casual, Indie, Sports	NA	0	NA	0	No time registered yet	No time registered yet	17	0	NA	NA	NA	Volens Nolens Games	Volens Nolens Games	04-Dec-2020	NA	OS: Microsoft® Windows® XP \/ Vista \/ 7 or higherProcessor: Dual Core 2.0 GHz or higherMemory: 256 MB RAMGraphics: Compatible with DirectX 8.1DirectX: Version 8.1Storage: 100 MB available space	NA
7 Angels	1477860		NA	0	NA	0	No time registered yet	No time registered yet	58	0	NA	NA	NA			28-Feb-2022	X	OS: Windows 7Processor: Intel Core 2 Duo or AMD equivalentMemory: 1 GB RAMGraphics: DirectX 9 compatible cardDirectX: Version 9.0Storage: 350 MB available space	NA
Bossa Presents	1484550		NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA			07-Dec-2021	NA	OS: Windows 7 64 BitProcessor: 1.8GHz Intel i3 or Ryzen 3 3000 seriesMemory: 4 GB RAMGraphics: Nvidia Geforce GTS 450 or betterStorage: 3 GB available spaceAdditional Notes: For the best experience, a gamepad is recommended as most prototypes are playable via a controller. 	OS: Windows 10 64 BitProcessor: 2.4GHz Intel i5 or Ryzen 5 3400 seriesGraphics: Nvidia Geforce GTX 760 or Radeon RX 570Additional Notes: For the best experience, a gamepad is recommended as most prototypes are playable via a controller.
CrashMetal Cyberpunk	1490130	Action, Casual, Indie, Massively Multiplayer, Racing, Simulation, Sports	Racing, Cyberpunk, Open World, Multiplayer, Moddable, Sci-fi, PvP, Combat Racing, Driving, Physics, Automobile Sim, Arcade, Action, Simulation, 3D, Realistic, Stylized, Cinematic, Dark, Futuristic	496	66.9	0	No time registered yet	No time registered yet	23	0	NA	NA	NA	JDM4iK Games	SA Industry	17-Dec-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: i3Memory: 2048 MB RAMGraphics: GTX650DirectX: Version 11Network: Broadband Internet connectionStorage: 1500 MB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: i5Memory: 4096 MB RAMGraphics: AMD Radeon 570DirectX: Version 11Network: Broadband Internet connectionStorage: 2000 MB available space
CRIMESIGHT	1491710	Simulation, Strategy	Multiplayer, Social Deduction, PvP, Online Co-Op, Simulation, Top-Down, Detective, Tabletop, Strategy, Survival, Logic, Mystery, Grid-Based Movement, Sci-fi, Turn-Based Strategy, Board Game, Futuristic, Co-op, Casual, Anime	676	72	0	No time registered yet	No time registered yet	27	0	NA	NA	NA	Konami Digital Entertainment	Konami Digital Entertainment	14-Apr-2022	X	Requires a 64-bit processor and operating systemOS: Windows10(64bit)Processor: Intel Core i5 7300U 2.6GHzMemory: 8 GB RAMGraphics: Intel HD Graphics 620DirectX: Version 11Storage: 3 GB available space 	Requires a 64-bit processor and operating systemOS: Windows10(64bit)Processor: Intel Core i3 3220 3.3GHzMemory: 8 GB RAMGraphics: NVIDIA Geforce GTX 1050TiDirectX: Version 12Storage: 3 GB available space
