Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Pathologic Classic HD	87.1	5.3	27	Ice-Pick Lodge, General Arcade	29-Oct-2015
R.I.P.D.: The Game	35.5	5.3	7	Old School Games	NA
Hacknet	93.6	5.3	7	Team Fractal Alligator	12-Aug-2015
GoNNER	83.3	5.3	8	Art in Heart	12-Oct-2016
Pathfinder Adventures	63.4	5.3	30	Obsidian Entertainment	15-Jun-2017
qop 2	95.3	5.3	1	Quiet River	12-Dec-2017
Z	75.7	5.3	6	TickTock Games	04-Jul-2014
Last Day of June	87	5.3	3	Ovosonico	NA
Acceleration of SUGURI 2	78.1	5.3	1	Orange_Juice	07-Mar-2018
UNO	73.5	5.3	5	Ubisoft Entertainment	03-Jan-2017
World to the West	77.4	5.2	11	Rain Games	05-May-2017
Rollers of the Realm	89.4	5.2	5	Phantom Compass	18-Nov-2014
Carmageddon Max Pack	89.3	5.2	19	Stainless Games Ltd	30-Jun-1997
Resident Evil 0	83.5	5.2	10	CAPCOM Co., Ltd.	19-Jan-2016
Castle of Illusion	90.2	5.2	3	SEGA Studios Australia	04-Sep-2013
Machinarium	95.6	5.2	5	Amanita Design	16-Oct-2009
Disney Universe	83.5	5.2	10	Eurocom	06-Oct-2014
ICEY	90.7	5.2	3	FantaBlade Network	17-Nov-2016
Snake Pass	79.2	5.2	5	Sumo Digital	28-Mar-2017
Satellite Reign	71.3	5.2	21	5 Lives Studios	27-Aug-2015
FOTONICA	87.9	5.2	2	Santa Ragione	06-Nov-2014
Final Slam 2	22.1	5.2	0	Josh Tam Universe	12-Jun-2014
Prison Architect	90.3	5.2	17	Double Eleven, Introversion Software	06-Oct-2015
Carmageddon: Reincarnation	75.9	5.2	18	Stainless Games Ltd	NA
